Inject ID,Deck ID,Card Title,Card Wording,Back Url,Background Url,Art Url
1,1,Is this Open Source? ,Disgruntled employee sold the source code to the highest bidder on the Dark Net.,https://res.cloudinary.com/servlet/image/upload/v1674588716/hAIwire/hAIwire-InjectCardBackBG_ipsqgf.pn,https://res.cloudinary.com/servlet/image/upload/v1674588716/hAIwire/hAIwire-InjectCardFrontBG-04Grey_hiaird.png,https://res.cloudinary.com/servlet/image/upload/v1674588716/hAIwire/hAIwire-SampleCardImageWOQR_rya03s.png
2,2,Oops My Bad! , Your intern plugged in a USB drive with ransomware and now your workstations are frozen until your organization pays up!,https://res.cloudinary.com/servlet/image/upload/v1674588716/hAIwire/hAIwire-InjectCardBackBG_ipsqgf.pn,https://res.cloudinary.com/servlet/image/upload/v1674588716/hAIwire/hAIwire-InjectCardFrontBG-04Grey_hiaird.png,https://res.cloudinary.com/servlet/image/upload/v1674588716/hAIwire/hAIwire-SampleCardImageWOQR_rya03s.png
3,3, We're (in)Famous! , The incident has gone viral on social media and shared to over 10M users who see this as a catastrophic failure! ,https://res.cloudinary.com/servlet/image/upload/v1674588716/hAIwire/hAIwire-InjectCardBackBG_ipsqgf.pn,https://res.cloudinary.com/servlet/image/upload/v1674588716/hAIwire/hAIwire-InjectCardFrontBG-04Grey_hiaird.png,https://res.cloudinary.com/servlet/image/upload/v1674588716/hAIwire/hAIwire-SampleCardImageWOQR_rya03s.png
4,4,This is Why We Have Rules ," Because of this incident, there are new laws in effect that prohibit further sales of the software/systems in question until resolved and regulatory review is complete. ",https://res.cloudinary.com/servlet/image/upload/v1674588716/hAIwire/hAIwire-InjectCardBackBG_ipsqgf.pn,https://res.cloudinary.com/servlet/image/upload/v1674588716/hAIwire/hAIwire-InjectCardFrontBG-04Grey_hiaird.png,https://res.cloudinary.com/servlet/image/upload/v1674588716/hAIwire/hAIwire-SampleCardImageWOQR_rya03s.png
5,5,We Were ON a Strike ," The whole Data Science team is going on strike until they get better cold brew in the lab, which will take 2 weeks. ",https://res.cloudinary.com/servlet/image/upload/v1674588716/hAIwire/hAIwire-InjectCardBackBG_ipsqgf.pn,https://res.cloudinary.com/servlet/image/upload/v1674588716/hAIwire/hAIwire-InjectCardFrontBG-04Grey_hiaird.png,https://res.cloudinary.com/servlet/image/upload/v1674588716/hAIwire/hAIwire-SampleCardImageWOQR_rya03s.png
6,6,Customer Mutiny, All your customers have staged a boycott of your organization and are costing millions in lost revenue. ,https://res.cloudinary.com/servlet/image/upload/v1674588716/hAIwire/hAIwire-InjectCardBackBG_ipsqgf.pn,https://res.cloudinary.com/servlet/image/upload/v1674588716/hAIwire/hAIwire-InjectCardFrontBG-04Grey_hiaird.png,https://res.cloudinary.com/servlet/image/upload/v1674588716/hAIwire/hAIwire-SampleCardImageWOQR_rya03s.png
7,7,We’re Not Gonna Take It, Nefarious parties are using your AI system in question here to conduct heinous crimes against humanity.  Engineering teams walk out on the job and demand swift response to address this as a condition for their return to work. ,https://res.cloudinary.com/servlet/image/upload/v1674588716/hAIwire/hAIwire-InjectCardBackBG_ipsqgf.pn,https://res.cloudinary.com/servlet/image/upload/v1674588716/hAIwire/hAIwire-InjectCardFrontBG-04Grey_hiaird.png,https://res.cloudinary.com/servlet/image/upload/v1674588716/hAIwire/hAIwire-SampleCardImageWOQR_rya03s.png
8,8,That Wasn’t Supposed to Happen, This incident has resulted in accidental loss of a human life. ,https://res.cloudinary.com/servlet/image/upload/v1674588716/hAIwire/hAIwire-InjectCardBackBG_ipsqgf.pn,https://res.cloudinary.com/servlet/image/upload/v1674588716/hAIwire/hAIwire-InjectCardFrontBG-04Grey_hiaird.png,https://res.cloudinary.com/servlet/image/upload/v1674588716/hAIwire/hAIwire-SampleCardImageWOQR_rya03s.png
9,9,Not the Kids! , Somehow this incident has managed to result in physical injury to an adorable group of toddlers. ,https://res.cloudinary.com/servlet/image/upload/v1674588716/hAIwire/hAIwire-InjectCardBackBG_ipsqgf.pn,https://res.cloudinary.com/servlet/image/upload/v1674588716/hAIwire/hAIwire-InjectCardFrontBG-04Grey_hiaird.png,https://res.cloudinary.com/servlet/image/upload/v1674588716/hAIwire/hAIwire-SampleCardImageWOQR_rya03s.png
10,10,Suit Up! ," Because of this mishap, a multimillion dollar lawsuit against your organization is now underway.  Share prices tumble.  Consumer confidence all time low. Employees quitting.",https://res.cloudinary.com/servlet/image/upload/v1674588716/hAIwire/hAIwire-InjectCardBackBG_ipsqgf.pn,https://res.cloudinary.com/servlet/image/upload/v1674588716/hAIwire/hAIwire-InjectCardFrontBG-04Grey_hiaird.png,https://res.cloudinary.com/servlet/image/upload/v1674588716/hAIwire/hAIwire-SampleCardImageWOQR_rya03s.png
